Author_id,Name
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-kate &amp; Ashley Olsen
35,Robynn Clairday
36,Kathleen Duey
37,Karen A. Bale
38,Bill Dodge
39,Rich Shapero
40,Michael Crichton
41,C.S. Lewis
42,Arthur Phillips
43,Stephen Jaramillo
44,Mordecai Richler
45,Michael Panofsky
46,Anette Grube
47,Eleanor Cooney
48,Daniel Altieri
49,Charlotte Link
50,Richard North Patterson
51,Kristian Lutze
52,Mark Salzman
53,Harper Lee
54,Laura Hillenbrand
55,Barbara Kingsolver
56,Jo Dereske
57,Jane Austen
58,Dolores Krieger
59,Anne Rivers Siddons
60,Dean Koontz
61,Mary Higgins Clark
62,Patricia Cornwell
63,J.D. Robb
64,Maeve Binchy
65,Laura J. Mixon
66,Tim LaHaye
67,Jerry B. Jenkins
68,Bernie S. Siegel M.D.
69,Robert Penn Warren
70,Hans Johannes Hoefer
71,Mark Helprin
72,O. Carl Simonton M.D.
73,James Creighton Ph.D.
74,Stepha
75,Chuck Hill
76,David Iglehart
77,Larry McMurtry
78,Suzanne Fisher Staples
79,Michel Tournier
80,Carl Sagan
81,Aleksandr Zinoviev
82,Anne Tyler
83,Joseph Conrad
84,Deepak Chopra
85,Martin Greenberg
86,Thomas Hardy
87,Charles Noland
88,Sherri Baker
89,Valerie Frankel
90,Benjamin Hoff
91,Niccolo Machiavelli
92,H. Jackson Brown Jr.
93,Robert A. Heinlein
94,Philip Pullman
95,Michael Ondaatje
96,Sandra Levy Ceren
97,P. J. O'Rourke
98,Mike Gayle
99,Stel Pavlou
100,Sarah Payne Stuart
101,Dan Quayle
102,Donald F. Kettl
103,Donald Kettl
104,David Frum
105,Louis L'Amour
106,J.D. Salinger
107,John Berendt
108,Jennifer Crusie
109,Jane Heller
110,Michael Rips
111,Simon Mawer
112,William Abrahams
113,Robert T. Kiyosaki
114,Sharon L. Lechter
115,Ken Follett
116,John F. Love
117,Robert G. Allen
118,Louis De Bernieres
119,Pam Proctor
120,Allen M. Schoen
121,Mitch Albom
122,Michael Jan Friedman
123,Ronald D. Moore
124,Glendon Swarthout
125,Neal Barrett Jr.
126,J. Michael Straczynski
127,David Morrell
128,Sandra Brown
129,James Patterson
130,Peter De Jonge
131,Stuart Woods
132,Iris Johansen
133,Dan Brown
134,Joe Hutsko
135,Anita Shreve
136,Ann Rule
137,Lewis Grizzard
138,Paul Theroux
139,Charles Hickey
140,Todd Lighty
141,John O'Brien
142,Stephen King
143,Ben Mezrich
144,Bill Hand
145,Tom Clancy
146,Dana Reeve
147,Roy
148,Barbara Metzger
149,Gabriel Garcia Marquez
150,Rebecca Wells
151,Tony Hillerman
152,Robert James Waller
153,Rachel Harris
154,Ian McEwan
155,Michael Lewis
156,Richard Zimler
157,Norman Jetmundsen
158,Lorenzo Carcaterra
159,Anne Frasier
160,Kay Hooper
161,Daphne Du Maurier
162,Nathaniel Hawthorne
163,Leo Marx
164,Nick Page
165,Laura Wolf
166,Lois Duncan
167,Susan Grant
168,Barbara Vine
169,Shirley Rousseau Murphy
170,Jane Lindskold
171,Betty Smith
172,Cybill Shepherd
173,Aimee Lee Ball
174,Stewart O'Nan
175,David Baldacci
176,Douglas Adams
177,Mary Lawson
178,Willa Cather
179,Olivia Goldsmith
180,Helen Fielding
181,Dover Thrift Editions
182,Franklin W. Dixon
183,Lilian Jackson Braun
184,Holly Virden
185,Michelle McKinney Hammond
186,H. Norman Wright
187,Piers Anthony
188,Ray Bradbury
189,Friedrich Schiller
190,Walter Schafarschik
191,Peter Naujack
192,Raymond Chandler
193,Hans Wollschläger
194,Thomas Schlück
195,Norbert Wölfl
196,Alexander Schmitz
197,Jürgen Bauer
198,Alastair Ker
199,Paulo Coelho
200,Maralde Meyer-Minnemann
201,Gabriel García Márquez
202,Fay Weldon
203,Arabella Weir
204,Kiana Davenport
205,Margarete Längsfeld
206,Sue Townsend
207,Renan Demirkan
208,Michael Moore
209,Helmut Dierlamm
210,Heike Schlatterer
211,Jonathan Franzen
212,Bettina Abarbanell
213,J. D. Salinger
214,Annemarie Böll
215,Heinrich Böll
216,Elisab
217,James Joyce
218,Joanna Trollope
219,Antoinette Gittinger
220,Milan Kundera
221,Arundhati Roy
222,Robert S. Levinson
223,Lorna Landvik
224,Arthur Golden
225,Kent Haruf
226,Patricia D Cornwell
227,Patricia D. Cornwell
228,Carol J. Farley
229,Tom Newsom
230,Kathleen E. Woodiwiss
231,Belva Plain
232,Mark Haddon
233,Ann Brashares
234,Erich Segal
235,Elizabeth Adler
236,Nicholas Sparks
237,John Saul
238,Steve Thayer
239,Tracy Chevalier
240,Judith Kelman
241,Michael Palmer
242,Francine Hughes
243,Norman Bridwell
244,Frank McCourt
245,Malachy Mccourt
246,Mari Sandoz
247,Anne Perry
248,Alexander Mccall Smith
249,Barbara Bergman
250,Gregory Maguire
251,Yann Martel
252,Ruth Rendell
253,Al Franken
254,Donna Tartt
255,John Milne
256,Terry Pratchett
257,E. B. White
258,Garth Williams
259,J. M. Barrie
260,Mary O'Hara
261,Paul Kidby
262,Louise Rennison
263,JANE AUSTEN
264,Kenneth Grahame
265,Bernard Cornwell
266,Charles De Lint
267,Lord Dunsany
268,Neil Gaiman
269,Georgette Heyer
270,Oscar Wilde
271,Jeffrey Eugenides
272,Ted Hughes
273,Andrew Davidson
274,Roald Dahl
275,Quentin Blake
276,Donna Jo Napoli
277,A.S. Byatt
278,Tanuja Desai Hidier
279,Sophie Kinsella
280,Isabel Wolff
281,Louisa May Alcott
282,Margaret Drabble
283,George Orwell
284,Charles Dickens
285,Isabel Allende
286,Ellen Datlow
287,Terri Windling
288,Charles Vess
289,Neil Gaim
290,Joseph Heller
291,John Galsworthy
292,Enid Blyton
293,Alan Moore
294,Kevin O'Neill
295,Ben Dimagmaliw
296,Sam Kieth
297,Mike Dringenberg
298,Malcolm Jon
299,John Bolton
300,Trudy Suggs
301,Tom Wolfe
302,Brady Udall
303,Homer Hickam
304,Pearl Abraham
305,Sebastian Junger
306,Karen Armstrong
307,Mary Barnard
308,Dudley Fitts
309,David Brin
310,T. C. Boyle
311,T. Coraghessan Boyle
312,Plato
313,Alexander Nehamas
314,Paul Woodruff
315,Lynda Madaras
316,Dane Saavedra
317,Jackie Aher
318,Stephen Mccauley
319,Isabelle Holland
320,Pam Conrad
321,Lurlene Mcdaniel
322,Brian Kaufman
323,John Darnton
324,Martin Schenk
325,David Eddings
326,Leigh Eddings
327,Paul Reiser
328,David G. Hartwell
329,Kathryn Cramer
330,Dave Barry
331,John R. Holt
332,Theodore Beale
333,Frank M. Robinson
334,Mary Jane Clark
335,Mary Shelley
336,Robert Westall
337,Robert B. Parker
338,Rita Chapman Works
339,Mark Carwardine
340,A. Manette Ansay
341,Sarah Waters
342,Anne Frank
343,Barry Lopez
344,Greg Palast
345,Andrea Kane
346,Nevada Barr
347,Margaret Maron
348,Edna Barker
349,Shelagh Rogers
350,Muriel Whitaker
351,John Irving
352,William Golding
353,Hermann Stiehl
354,HarperReference
355,LTD
356,Ann Patchett
357,Lane Smith
358,Sue Monk; Sue Monk Kidd Kidd
359,Roseanne J. Serra (Co
360,Bob Thiele
361,Bob Golden
362,Steve Allen
363,Colleen Mccullough
364,Joanne Harris
365,Thomas Cahill
366,Michael Hudson
367,Jane Smiley
368,Dick Francis
369,Nora Roberts
370,Jean Marzollo
371,Walter Wick
372,Carol Devine Carson
